x
IMAP
Systemy pamięci masowych
PL/SQL
Mathematica
Matlab
EViews
scikit-learn
Torch7
Theano
Caffe
DL4J
NLTK
OpenNLP
CoreNLP
UIMA
OLAP
ETL
SQL Server Analysis Services
SQL Server Integration Services
C
C++
C#
.NET
R
Python
Java
SQL
SQL Server
MDX
Postgresql
big data
data mining
Excel
HTTP
JavaScript
VBA
Oracle Database
MS SQL
Teradata
SAP BO
HTML
Agile
Jira
GIT
UX
mongodb
Bruker Optics
Foss
Framework Manager
Business Objects
BusinessObjects
Data Warehouse
BI
buisness intelligence
Cognos
Spotfire
VMware
Citrix
RedHat
MSOffice
MS Office
Microsoft Office
Android
iOS
Computer Applications
Engineering
Mathematics
Operations research
Six Sigma
Machine Learning
Deep Learning
uczenie maszynowe
text analytics
sentiment analysis
data-wrangling
web-scraping
NLP
Opinion Mining
Oracle
MySQL 
Microsoft SQL Server
MongoDB 
PostgreSQL
DB2
Microsoft Access
Cassandra 
Redis 
SQLite
Elasticsearch 
SAP Adaptive Server
Solr
HBase
Hive
FileMaker
Splunk
SAP HANA 
Neo4j 
MariaDB 
Informix
Memcached
Couchbase 
Amazon DynamoDB 
CouchDB
Firebird
Microsoft Azure SQL Database
Vertica
Netezza
Riak KV 
Ingres
Greenplum
MarkLogic
dBASE
Amazon Redshift 
Sphinx
Impala
Hazelcast
Ehcache
OrientDB
Interbase
Google BigQuery 
Titan
Spark SQL
RethinkDB
RavenDB
SAP IQ
Cloudant
HyperSQL
Aerospike
Jackrabbit
SAP SQL Anywhere
InfluxDB
H2
Derby
GemFire
Adabas
Google Search Appliance
Accumulo
Oracle Coherence
Berkeley DB
"UniData,UniVerse"
Amazon SimpleDB
SAP Advantage Database Server
RRDtool
Oracle NoSQL
MaxDB
Realm
TimesTen
Virtuoso
Amazon CloudSearch
OpenEdge
mSQL
Caché
Teradata Aster
MemSQL
Infinispan
PouchDB
Microsoft Azure DocumentDB
4D
Apache Drill
Datameer
Drizzle
Jena
Amazon Aurora
CloudKit
Datomic
LevelDB
Percona Server
Graphite
IMS
VoltDB
Db4o
ArangoDB
OpenTSDB
Sesame
EnterpriseDB
Sedna
Infobright
ParAccel
Microsoft Azure Search
MonetDB 
Versant Object Database
Kdb+ 
Tamino
SQLBase
IBM dashDB
D3
Red Brick
jBASE
Mnesia
ObjectStore
GridGain
Oracle Rdb
BaseX
DataEase
Google Cloud Datastore
IDMS
Giraph
NuoDB 
Model 204
Altibase
R:BASE
Hadapt
1010data
Northgate Reality
Tibero
NonStop SQL
Cubrid
HAWQ
Algebraix
solidDB
Empress
Matisse
InfiniDB
Clustrix
TokuDB
DBISAM
Kognitio
Stardog
AllegroGraph 
Hypertable
Pervasive PSQL
Vectorwise
ZODB
Datacom/DB
GT.M
Objectivity/DB
NCache
OpenBase
Xapian
OpenInsight
ITTIA
SciDB
VistaDB
Rainstor
FrontBase
RocksDB
WiredTiger
WebSphere eXtreme Scale
GemStone/S
Perst
NexusDB
TokuMX
ObjectDB
Tokyo Cabinet
PrestoDB
Project Voldemort
XAP 
XtremeData
GenieDB
Indica
Sqrrl
SQL.JS
HFSQL
Hibari
Clusterpoint 
Event Store
MapDB
Splice Machine
4store
ScimoreDB
Tokyo Tyrant
Mimer SQL
LucidDB
Druid
ModeShape
InfiniteGraph
TransLattice
ElevateDB
Starcounter
eXist-db
ScaleBase
eXtremeDB
KairosDB
STSdb
Redland
Jade
Transbase
BrightstarDB
EXASolution
Google Cloud Bigtable
Sparksee
VelocityDB
ScaleDB
RedStore
Siaqodb
Terrastore
SearchBlox
Scalaris
Crate.IO
Trafodion
RaptorDB
WakandaDB
HyperGraphDB
Akiban
Prometheus
WebScaleSQL
Dataupia
Postgres-XL
HyperDex
GlobalsDB
Strabon
Kyoto Cabinet
c-treeACE
FlockDB
EJDB
SisoDb
VelocityGraph
WhiteDB
InfoGrid
OpenQM
Tarantool
ActorDB
Rasdaman
Axibase
AlaSQL
Mulgara
Tajo
NEventStore
Blazegraph 
LightCloud
ScaleOut StateServer
Upscaledb
Eloquera
Valentina Server
GraphDB 
Srch²
Sequoiadb
JasDB
JethroData
CitusDB
GraphBase
SmallSQL
Versant FastObjects
ScyllaDB
DBSight
PipelineDB
Dydra
Quasardb
Riak TS
LokiJS
TempoIQ
JustOneDB
Exorbyte
Bangdb
BergDB
BigObject
Blueflood
Cachelot.io
CodernityDB
Compass
CubicWeb
DaggerDB
DeepSQL
DensoDB
Djondb
Elliptics
FaunaDB
FleetDB
Hawkular Metrics
Helium
HyperLevelDB
Infiniflux
K-DB
Kyoto Tycoon
LedisDB
Linter
Nanolat
Newts
Resin Cache
SenseiDB
SiteWhere
SparkleDB
TimeSeries.Guru
TomP2P
Warp 10
Yanza
Amisa Server
CortexDB
OrigoDB
searchxml
