id,position,employer,date,location,href
4385602,Analyst Business Support-Ops Fin Systems,Philip Morris International w Polsce,2016-02-06,"Kraków, ma³opolskie","/praca/analyst-business-support-ops-fin-systems-krakow,oferta,4385602"
4380346,Balance Sheet Optimization Analyst,UBS,2016-02-06,"Zabierzów (pow. krakowski), ma³opolskie","/praca/balance-sheet-optimization-analyst-zabierzow-pow-krakowski,oferta,4380346"
4385601,Business Support Analyst,Philip Morris International w Polsce,2016-02-06,"Kraków, ma³opolskie","/praca/business-support-analyst-krakow,oferta,4385601"
4380647,Business Analyst,BNY Mellon Poland,2016-02-06,"Wroc³aw, dolnoœl¹skie","/praca/business-analyst-wroclaw,oferta,4380647"
4346150,IT Business Analyst,HSBC Service Delivery (Polska),2016-02-06,"Kraków, ma³opolskie","/praca/it-business-analyst-krakow,oferta,4346150"
4355951,Senior Financial Analyst,State Street,2016-02-06,"Kraków, ma³opolskie","/praca/senior-financial-analyst-krakow,oferta,4355951"
4380354,CFO Business Analyst,UBS,2016-02-06,"Zabierzów (pow. krakowski), ma³opolskie","/praca/cfo-business-analyst-zabierzow-pow-krakowski,oferta,4380354"
4357034,Analyst with Russian - 1st Line Technical Support,HCL Poland,2016-02-06,"Kraków, Zabierzów (pow. krakowski), ma³opolskie","/praca/analyst-with-russian-1st-line-technical-support-krakow-zabierzow-pow-krakowski,oferta,4357034"
4357467,Junior Research Analyst,McKinsey Knowledge Center Poland Sp. z o.o.,2016-02-06,"Wroc³aw, dolnoœl¹skie","/praca/junior-research-analyst-wroclaw,oferta,4357467"
4375038,Business Analyst - Product Owner,ABB,2016-02-06,"Kraków, ma³opolskie","/praca/business-analyst-product-owner-krakow,oferta,4375038"
4378860,Geospatial Business Analyst,UBS,2016-02-06,"Zabierzów (pow. krakowski), ma³opolskie","/praca/geospatial-business-analyst-zabierzow-pow-krakowski,oferta,4378860"
4386717,Credit Data Control Analyst,UBS,2016-02-06,"Zabierzów (pow. krakowski), ma³opolskie","/praca/credit-data-control-analyst-zabierzow-pow-krakowski,oferta,4386717"
4378918,Market Research Business Analyst,UBS,2016-02-06,"Zabierzów (pow. krakowski), ma³opolskie","/praca/market-research-business-analyst-zabierzow-pow-krakowski,oferta,4378918"
4353688,Junior Intercompany Analyst,Aon,2016-02-06,"Kraków, ma³opolskie","/praca/junior-intercompany-analyst-krakow,oferta,4353688"
4366409,Marketing Business Analyst,Wabco Polska,2016-02-06,"Wroc³aw, dolnoœl¹skie","/praca/marketing-business-analyst-wroclaw,oferta,4366409"
4384388,Business Analyst,UNIT4 Polska Sp. z o.o.,2016-02-06,"Wroc³aw, dolnoœl¹skie","/praca/business-analyst-wroclaw,oferta,4384388"
4380381,Equity Research Analyst - European Real Estate,UBS,2016-02-06,"Kraków, ma³opolskie","/praca/equity-research-analyst-european-real-estate-krakow,oferta,4380381"
4365615,Continuous Improvement Analyst,Dansk Supermarked SSC,2016-02-06,"Szczecin, zachodniopomorskie","/praca/continuous-improvement-analyst-szczecin,oferta,4365615"
4359757,Scheduling Coordinator,Coleman Research,2016-02-06,"Gdañsk, pomorskie","/praca/operations-analyst-gdansk,oferta,4359757"
4359745,Analyst,Coleman Research,2016-02-06,"Gdañsk, pomorskie","/praca/analyst-gdansk,oferta,4359745"
4387508,Consulting - Capability Network - Business Analyst in High Technology Sector,Accenture,2016-02-06,"Warszawa, mazowieckie","/praca/consulting-capability-network-business-analyst-in-high-technology-sector-warszawa,oferta,4387508"
4387537,Consulting - Capability Network - Insurance Analyst with French or German,Accenture,2016-02-06,"Warszawa, mazowieckie","/praca/consulting-capability-network-insurance-analyst-with-french-or-german-warszawa,oferta,4387537"
4387756,Consulting - Capability Network - Finance and Enterprise Performance Analyst,Accenture,2016-02-06,"Warszawa, mazowieckie","/praca/consulting-capability-network-finance-and-enterprise-performance-analyst-warszawa,oferta,4387756"
4388100,"Consulting - Capability Network - Content Development Analyst - Trainings, E-Learning, Instructional Design",Accenture,2016-02-06,"Warszawa, mazowieckie","/praca/consulting-capability-network-content-development-analyst-trainings-e-learning-i-warszawa,oferta,4388100"
4388130,Consulting - Capability Network - Analyst– Accenture Strategy Practice (M&A),Accenture,2016-02-06,"Warszawa, mazowieckie","/praca/consulting-capability-network-analyst-accenture-strategy-practice-m-a-warszawa,oferta,4388130"
4388184,Consulting - Capability Network - Sales Operations Analyst– CRM Sales,Accenture,2016-02-06,"Warszawa, mazowieckie","/praca/consulting-capability-network-sales-operations-analyst-crm-sales-warszawa,oferta,4388184"
4388295,"Consulting - Capability Network - HR Transformation Analyst / Consultant - HR SSC / BPO Design, Set up, Transition",Accenture,2016-02-06,"Warszawa, mazowieckie","/praca/consulting-capability-network-hr-transformation-analyst-consultant-hr-ssc-bpo-de-warszawa,oferta,4388295"
4388308,Consulting - Capability Network - HR Transformation Analyst / Consultant - HR Systems Implementation (SAP / Oracle / SaaS),Accenture,2016-02-06,"Warszawa, mazowieckie","/praca/consulting-capability-network-hr-transformation-analyst-consultant-hr-systems-im-warszawa,oferta,4388308"
