id,position,employer,date,location,href
4390918,Analityk finansowy – zespó³ niemiecki (transition),Goldman Recruitment,2016-02-04,œl¹skie,"/praca/analityk-finansowy-zespol-niemiecki-transition-slaskie,oferta,4390918"
4390919,Analityk finansowy – zespó³ niemiecki (transition),Goldman Recruitment,2016-02-04,³ódzkie,"/praca/analityk-finansowy-zespol-niemiecki-transition-lodzkie,oferta,4390919"
4385641,analityk finansowy w Dziale Sprzeda¿y,Randstad Finance (Randstad Professionals),2016-02-03,"Warszawa, mazowieckie","/praca/analityk-finansowy-w-dziale-sprzedazy-warszawa,oferta,4385641"
4387930,Analityk Finansowy,SAD Sp. z o.o.,2016-02-03,"Warszawa, mazowieckie","/praca/analityk-finansowy-warszawa,oferta,4387930"
4365941,Specjalista ds. Marketingu on-line i analityki,Agencja interaktywna 3xW / Spod Lady,2016-02-03,"Toruñ, kujawsko-pomorskie","/praca/specjalista-ds-marketingu-on-line-i-analityki-torun,oferta,4365941"
4386926,Praktykant / Analityk - Bezpieczeñstwo IT,EY (dawniej Ernst & Young),2016-02-03,"Warszawa, mazowieckie","/praca/praktykant-analityk-bezpieczenstwo-it-warszawa,oferta,4386926"
4386937,M³odszy Analityk Project Management Office,Capgemini Software Solutions Center,2016-02-03,"Wroc³aw, dolnoœl¹skie","/praca/mlodszy-analityk-project-management-office-wroclaw,oferta,4386937"
4356675,Analityk Finansowy,HRK S.A.,2016-02-02,"Warszawa, mazowieckie","/praca/analityk-finansowy-warszawa,oferta,4356675"
4381288,Analityk Finansowy,Rekrutacja ukryta,2016-02-02,"Warszawa, mazowieckie","/praca/analityk-finansowy-warszawa,oferta,4381288"
4384141,Analityk Finansowy,Delphi Poland S.A. Oddzia³ w Gdañsku,2016-02-02,"Gdañsk, pomorskie","/praca/analityk-finansowy-gdansk,oferta,4384141"
4386323,Analityk Finansowy,AXA Assistance,2016-02-02,"Warszawa, mazowieckie","/praca/analityk-finansowy-warszawa,oferta,4386323"
4353736,Analityk Finansowy,Rekrutacja ukryta,2016-02-01,"Tarnowo Podgórne (pow. poznañski) (okolice), wielkopolskie","/praca/mlodszy-analityk-finansowy-tarnowo-podgorne-pow-poznanski,oferta,4353736"
4381286,Analityk Finansowy,LOWARA VOGEL POLSKA,2016-02-01,"Strzelin, dolnoœl¹skie","/praca/analityk-finansowy-strzelin,oferta,4381286"
